Client ID;Age;Gender;Interest;VisitTime;City;Device;OS;VisitPage;AdsTool;VisitNumber;ViewedPage;Registration
1;0;1;0;14;1;0;1;0;0;0;0;1
2;0;2;0;8;0;0;1;1;2;1;2;1
3;2;1;0;21;1;0;1;0;3;0;2;1
4;0;1;0;23;1;0;0;1;3;1;0;1
5;2;0;0;12;0;0;1;0;0;1;4;1
6;2;2;0;11;0;0;1;0;3;1;3;1
7;2;1;2;18;0;0;1;0;3;0;1;1
8;2;1;0;8;0;0;0;1;2;1;1;1
9;2;1;0;14;1;0;1;0;3;1;0;1
10;1;2;0;18;1;0;1;1;2;0;2;1
11;0;2;0;15;0;0;0;0;0;0;1;1
12;3;2;0;13;1;0;0;1;1;1;0;1
13;2;2;0;10;0;0;0;0;5;0;2;1
14;0;1;0;8;0;0;1;1;3;0;4;1
15;2;2;0;17;0;0;1;1;1;1;1;1
16;1;2;0;21;1;0;1;0;2;0;0;1
17;0;1;0;13;0;0;0;1;0;1;4;1
18;2;2;0;5;1;0;1;1;1;0;2;1
19;0;1;0;10;1;0;1;1;1;1;0;1
20;2;2;0;17;0;0;1;0;2;1;0;1
21;1;1;2;18;1;0;0;0;5;1;2;1
22;1;1;4;21;0;0;1;1;0;1;2;1
23;0;1;0;8;1;0;1;0;5;1;0;1
24;1;1;2;22;0;0;0;0;4;1;3;1
25;0;1;3;7;1;0;1;1;1;0;1;1
26;2;2;0;21;0;0;1;0;1;0;2;1
27;2;2;0;18;1;0;0;0;3;1;3;1
28;0;1;0;12;0;0;0;0;3;0;4;1
29;2;2;0;15;0;0;1;1;0;1;1;1
30;2;1;2;22;0;0;1;0;0;1;6;1
31;1;1;0;5;0;0;0;0;1;0;2;1
32;2;2;0;12;1;0;1;1;5;0;3;1
33;0;1;0;9;0;0;0;1;3;0;3;1
34;1;1;0;10;1;0;1;0;1;0;2;1
35;0;2;3;18;0;0;0;0;3;1;4;1
36;0;1;1;14;0;0;1;1;0;0;2;1
37;0;2;4;9;0;0;0;0;1;1;1;1
38;0;1;0;14;0;0;1;0;5;0;1;1
39;3;1;0;12;1;0;0;0;5;0;4;1
40;0;0;0;19;1;0;1;0;2;1;2;1
41;2;1;0;8;1;0;1;0;1;1;3;1
42;2;0;0;10;0;0;0;1;0;1;1;1
43;0;2;0;18;1;0;1;0;5;1;6;1
44;2;1;0;12;0;0;0;1;0;1;3;1
45;3;1;0;17;1;0;1;0;0;0;4;1
46;0;0;0;10;1;0;1;1;2;0;4;1
47;0;2;0;5;0;0;0;1;0;1;3;1
48;0;1;4;16;1;0;0;1;3;1;4;1
49;2;1;0;12;1;0;0;1;0;0;1;1
50;0;0;0;8;0;0;1;1;2;1;3;1
51;3;2;2;12;0;0;1;1;0;0;0;1
52;0;0;2;19;0;0;1;1;5;0;4;1
53;0;2;1;11;1;0;0;1;4;1;1;1
54;0;1;0;6;0;0;1;1;0;0;0;1
